2026-01-04T12:12:28.104+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:28.400+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:28.401+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-04T12:12:29.131+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:29.131+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:29.132+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-04T12:12:30.161+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:30.161+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:30.161+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-04T12:12:31.005+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:31.005+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:31.006+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-04T12:12:31.928+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
